Group,Pre_Post,Year,Region,Beach,Crawl_Type,Success_Nest,Date_Found,ID,Obstructed,Object_ID_Spec,Object_ID_Gen,People,Dist_HTL,Dist_Dune,East_Orig,North_Orig,Long_Orig,Lat_Orig,Relocated,East_Relo,North_Relo,Long_Relo,Lat_Relo,Relo_Reason,Comments
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,Nest,1,7/8/2012,B14,0,NA,NA,NA,15.5,3.6,423084,3344632,-87.79933,30.23081,Yes,423111,3344650,-87.79905,30.23098,Beach Renourishment,Moved slightly east to 3245 Dolphin Way to a sea oat free (for now) area behind baby dunes.
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/8/2012,A53,0,NA,NA,NA,14.5,23.6,417417,3344386,-87.8582,30.22822,No,NA,NA,NA,NA,NA,"Loggerhead, nest from 7-8-12 thought to be FC, nest found 7/9/12. Nest washed out during TS Isaac, excavation not possible. Day 75: 9/20/2012 "
Treatment,1_Pre,2012,Gulf Shores,East Beach,Nest,1,7/8/2012,E2,1,Wooden Lounger,Wooden Lounger,NA,18.2,42.4,434101,3346406,-87.68496,30.24747,Yes,434108,3346453,-87.68489,30.24789,Near/At HTL,"The nesting turtle came up the beach 60ft from the wrack line and ran into 3 sets of double-seated wooden beach chairs that were pushed together. Since she was unable to get between them, she nested right infront of them. From the tracks it was evident that her body had to rub against the chairs while nesting."
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/8/2012,AFC37,0,NA,NA,NA,NA,NA,420539,3344414,-87.82576,30.22868,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,FC,0,7/8/2012,BFC7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By the time we finished with B14 tracks were unmeasureable.  Mama T came in from the west, shuffled 10 ft along the base of a 4 ft embankment. She attempted to climb, slipped back down, turned about heading west covering her incoming tracks.  May had laid nest B-14 7 houses west of crawl where the slope was gentle."
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,Nest,1,7/9/2012,B15,0,NA,NA,NA,23.3,0.0,426281,3345205,-87.76615,30.23618,No,NA,NA,NA,NA,NA,"Nest was laid high as possible in dune - Six feet vertically amongst sea oats.  Number of eggs unknown.

Discovered nest washing out during storm, sorry no measurements taken."
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,Nest,1,7/9/2012,B16,0,NA,NA,NA,16.4,0.0,424329,3344820,-87.78641,30.23259,Yes,424329,3344821,-87.78641,30.2326,Beach Renourishment,"Scattered empty shells gathered 38, screen and stakes gone.  Located nest, captured remaining eggs pipping during storm. Sorry no measurements.  I consider this nest a huge success since we found only empty shells, no dead or wandering."
NA,1_Pre,2012,Dauphin Island,Dauphin Island,Nest,1,7/9/2012,J06,0,NA,NA,NA,12.7,0.9,379950,3345892,-88.24766,30.23868,No,NA,NA,NA,NA,NA,"Did not dig, just marked area due to location and time lapsed. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/9/2012,AFC39,0,NA,NA,NA,NA,NA,407050,3344662,-87.96595,30.22996,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/9/2012,AFC40,0,NA,NA,NA,NA,NA,408757,3344798,-87.94822,30.23132,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/9/2012,AFC41,0,NA,NA,NA,NA,NA,409859,3344803,-87.93677,30.23145,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/9/2012,AFC38,1,Unidentified,Unidentified,NA,NA,NA,405080,3344457,-87.9864,30.22796,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Gulf Shores,East Beach,FC,0,7/9/2012,EFC1,0,NA,NA,NA,NA,NA,433277,3346219,-87.69351,30.24574,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Gulf Shores,East Beach,FC,0,7/9/2012,EFC2,0,NA,NA,NA,NA,NA,433392,3346205,-87.69232,30.24562,NA,NA,NA,NA,NA,NA,Made 4 nesting attempts
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,FC,0,7/9/2012,BFC8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief clear U-turn in damp sand
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,Nest,1,7/10/2012,B17,0,NA,NA,NA,62.1,0.0,427479,3345470,-87.75372,30.23865,No,NA,NA,NA,NA,NA,"This mama went on a voyage into and around the dunes, nesting between two houses, taking the cement driveway to the road, crossing the street and hiding on the edge of Little Lagoon until she was spotted.  She entered the water and simply stopped-apparently disoriented and exhausted.  We cooled her down throwing water on her carapace until she started blowing bubbles in the water.  She was last seen diving like a sub, surfacing and leaving a nice wake heading east in Little Lagoon.  She was our previous B6 from June 2nd - at 2989 West Bch Blvd.  ""Martha"""
NA,1_Pre,2012,Dauphin Island,Dauphin Island,Nest,1,7/10/2012,J08,0,NA,NA,NA,14.8,0.0,387358,3347010,-88.17081,30.24948,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,7/10/2012,A54,0,NA,NA,NA,8.2,28.8,405874,3344555,-87.97816,30.22891,Yes,405866,3344581,-87.97824,30.22914,Near/At HTL,"Loggerhead. Nest washed out during TS Isaac, excavation not possible. Day 75: 9/22/2012"
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/10/2012,AFC43,0,NA,NA,NA,NA,NA,417411,3344376,-87.85826,30.22813,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/10/2012,AFC46,0,NA,NA,NA,NA,NA,417782,3344403,-87.85441,30.2284,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/10/2012,AFC45,0,NA,NA,NA,NA,NA,417997,3344416,-87.85218,30.22853,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/10/2012,AFC44,0,NA,NA,NA,NA,NA,418116,3344441,-87.85094,30.22876,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/10/2012,AFC47,0,NA,NA,NA,NA,NA,404069,3344299,-87.99689,30.22645,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/10/2012,AFC42,0,NA,NA,NA,NA,NA,415264,3344510,-87.88058,30.22919,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,FC,0,7/10/2012,BFC9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In and out
Treatment,1_Pre,2012,Gulf Shores,East Beach,FC,0,7/10/2012,EFC3,1,Unidentified,Unidentified,NA,NA,NA,433539,3346296,-87.69079,30.24645,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,Gulf State Park,Gulf State Park,FC,0,7/10/2012,GFC3,0,NA,NA,NA,NA,NA,436665,3346722,-87.65833,30.25046,NA,NA,NA,NA,NA,NA,"This turtle went all the way to the dunes, climbed to the top of a dune, turned around and headed southeast.  She went for a long ways to the east, made a loop and then went into the water."
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,Nest,1,7/11/2012,B18,0,NA,NA,NA,26.1,0.0,427764,3345488,-87.75076,30.23883,No,NA,NA,NA,NA,NA,Another pink ribbon crawl up into the dunes.
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/11/2012,A55,0,NA,NA,NA,32.4,0.0,418183,3344444,-87.85025,30.2288,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Orange Beach,Orange Beach,Nest,1,7/11/2012,H10,0,NA,NA,NA,10.0,45.8,443867,3348708,-87.58358,30.26873,Yes,443848,3348736,-87.58378,30.26899,Near/At HTL, 
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/11/2012,A56,0,NA,NA,NA,1.2,55.2,420953,3344389,-87.82146,30.22848,Yes,420976,3344461,-87.82122,30.22914,Near/At HTL,"Loggerhead. Nest washed out during TS Isaac, excavation not possible. Day 75: 9/23/2012"
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/11/2012,AFC48,0,NA,NA,NA,NA,NA,417667,3344400,-87.8556,30.22836,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/11/2012,AFC48,0,NA,NA,NA,NA,NA,417667,3344400,-87.8556,30.22836,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/11/2012,AFC49,0,NA,NA,NA,NA,NA,421445,3344470,-87.81635,30.22925,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/11/2012,AFC49,0,NA,NA,NA,NA,NA,421445,3344470,-87.81635,30.22925,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2012,Dauphin Island,Dauphin Island,FC,0,7/11/2012,JFC12,0,NA,NA,NA,NA,NA,371493,3345116,-88.33544,30.23081,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2012,Dauphin Island,Dauphin Island,FC,0,7/11/2012,JFC11,0,NA,NA,NA,NA,NA,381099,3346190,-88.23576,30.24148,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2012,Dauphin Island,Dauphin Island,FC,0,7/11/2012,JFC10,0,NA,NA,NA,NA,NA,387409,3347019,-88.17028,30.24956,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2012,Dauphin Island,Dauphin Island,FC,0,7/11/2012,JFC9,0,NA,NA,NA,NA,NA,388556,3347054,-88.15836,30.24999,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/12/2012,A57,0,NA,NA,NA,28.8,7.0,419450,3344394,-87.83708,30.22843,Yes,419453,3344408,-87.83705,30.22856,Near/At HTL,"Loggerhead. Nest washed out during TS Isaac, excavation not possible. Day 75: 9/24/2012"
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/12/2012,AFC52,0,NA,NA,NA,NA,NA,418903,3344370,-87.84276,30.22818,NA,NA,NA,NA,NA,NA,crawl diagram incomplete
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/12/2012,AFC51,0,NA,NA,NA,NA,NA,419454,3344367,-87.83703,30.22819,NA,NA,NA,NA,NA,NA,there was an egg chamber with no eggs
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/12/2012,AFC53,0,NA,NA,NA,NA,NA,420409,3344399,-87.82711,30.22854,NA,NA,NA,NA,NA,NA,"no UTMs, two body pits"
NA,1_Pre,2012,Dauphin Island,Dauphin Island,FC,0,7/12/2012,JFC13,0,NA,NA,NA,NA,NA,380599,3346055,-88.24094,30.24021,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/12/2012,AFC50,0,NA,NA,NA,NA,NA,416582,3344358,-87.86688,30.22791,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,7/13/2012,A58,1,Unidentified,Unidentified,NA,24.2,0.0,405948,3344582,-87.97739,30.22915,No,NA,NA,NA,NA,NA,"off refuge, not relocated. Nest washed out during TS Isaac, excavation not possible. Day 75: 9/25/2012"
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/13/2012,AFC54,0,NA,NA,NA,NA,NA,417673,3344397,-87.85554,30.22834,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,Gulf State Park,Gulf State Park,FC,0,7/13/2012,GFC4,0,NA,NA,NA,NA,NA,438460,3347125,-87.6397,30.25419,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Orange Beach,Orange Beach,FC,0,7/13/2012,HFC7,1,Tent,Tent,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"She dug two different body pits with egg chambers in each. She ran into canopy, turned around and went to water.  Probably disturbed judging by footprints. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/14/2012,A59,1,Unidentified,Unidentified,NA,22.2,23.7,418044,3344426,-87.85169,30.22862,Yes,418046,3344451,-87.85167,30.22885,Near/At HTL,"Loggerhead; canine tracks and signs of digging in nest pit, no observed impact to clutch. 79 LSM, 1 ESM, 15 INF"
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/14/2012,A60,0,NA,NA,NA,NA,NA,401108,3344408,-88.02767,30.2272,Yes,402814,3344146,-88.00991,30.22497,Near/At HTL,"Loggerhead, relocated to the west of No Name Road. Nest washed out during TS Isaac, excavation not possible. Day 75: 9/26/2012"
Treatment,1_Pre,2012,Gulf Shores,West Beach,Nest,1,7/15/2012,C15,0,NA,NA,NA,15.2,36.4,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/15/2012,A61,0,NA,NA,NA,4.2,49.7,417939,3344398,-87.85278,30.22837,Yes,417932,3344457,-87.85286,30.2289,Near/At HTL,"Loggerhead; a large tunnel found during excavation leading from the nest cavity in which 7 eggs and shells were found. 9 eggs missing completely from clutch and marked depredated, the remaining 10 depredated were shells or opened eggs. Shells found in the nest were not determined to be from hatchlings because they were near the bottom of the nest which was inundated before day 55 by TS Isaac. 55 LSM, 5 ESM, 41 INF. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/15/2012,AFC55,0,NA,NA,NA,NA,NA,411073,3344760,-87.92415,30.23115,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/15/2012,AFC56,0,NA,NA,NA,NA,NA,411454,3344746,-87.92019,30.23105,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Gulf Shores,Laguna Key,Nest,1,7/16/2012,B19,0,NA,NA,NA,35.5,0.0,423240,3344661,-87.79771,30.23109,Yes,423244,3344666,-87.79767,30.23113,Beach Renourishment,"Small turtle tracks with 4 to 7 interesting stria running down the center.  Also, the flipper prints appeared rounder than usual."
NA,1_Pre,2012,Dauphin Island,Dauphin Island,Nest,1,7/16/2012,J09,0,NA,NA,NA,5.8,12.7,392726,3346230,-88.11494,30.24293,Yes,390751,3346959,-88.13554,30.24933,Near/At HTL,Move all Sand Island nests to nest corral
NA,1_Pre,2012,Dauphin Island,Dauphin Island,Nest,1,7/17/2012,J10,0,NA,NA,NA,13.6,27.3,390061,3347064,-88.14272,30.25021,No,NA,NA,NA,NA,NA,"Eggs originally missed. Volunteers went back that afternoon after instructed where to dig and found eggs, but too late to move. Should be high enough, but originally would have moved higher on beach. "
Ord_Control,1_Pre,2012,Gulf State Park,Gulf State Park,Nest,1,7/18/2012,G4,0,NA,NA,NA,17.3,53.9,437800,3347001,-87.64655,30.25303,Yes,437940,3347085,-87.6451,30.2538,Near/At HTL,
Ord_Control,1_Pre,2012,Gulf State Park,Gulf State Park,FC,0,7/18/2012,GFC5,1,Garbage Can,Other,NA,NA,NA,437180,3346818,-87.65298,30.25135,NA,NA,NA,NA,NA,NA,She bumped into the garbage can and turned around and went back to the water.
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/19/2012,A62,0,NA,NA,NA,45.5,0.0,421371,3344497,-87.81712,30.22949,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/19/2012,AFC57,1,House,Permanent Structure,NA,NA,NA,410709,3344784,-87.92794,30.23134,NA,NA,NA,NA,NA,NA,Loggerhead. She turned around when she ran into a house piling.
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/20/2012,A64,0,NA,NA,NA,10.3,0.0,401177,3344270,-88.02694,30.22596,Yes,402888,3344159,-88.00915,30.2251,Near/At HTL,"Loggerhead, nest relocated to the east of No Name Road. Nest heavily inundated by TS Isaac. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/20/2012,A63,1,Unidentified,Unidentified,NA,34.8,0.0,403420,3344244,-88.00363,30.22591,No,NA,NA,NA,NA,NA,"Loggerhead. Nest washed out during TS Isaac, not found 9/1/2012. Excavation not possible. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/20/2012,AFC59,0,NA,NA,NA,NA,NA,403129,3344163,-88.00664,30.22515,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/20/2012,AFC59,0,NA,NA,NA,NA,NA,403129,3344163,-88.00664,30.22515,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/20/2012,AFC58,0,NA,NA,NA,NA,NA,403766,3344258,-88.00003,30.22606,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/21/2012,AFC62,0,NA,NA,NA,NA,NA,408918,3344784,-87.94655,30.2312,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/21/2012,AFC61,0,NA,NA,NA,NA,NA,409884,3344801,-87.93651,30.23143,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/21/2012,AFC60,0,NA,NA,NA,NA,NA,410222,3344798,-87.933,30.23143,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/22/2012,A66,1,Unidentified,Unidentified,NA,49.1,3.9,401140,3344409,-88.02733,30.22721,Yes,401155,3344408,-88.02718,30.2272,Near/At HTL,"Loggerhead; nest relocated into the dunes to the east. 1 hatchling found hatched in nest and released, not expected to survive due to severe deformity. Shell was rounded and misshappen at notch, rear flippers unable to reach ground and as result, hatchling was unable to crawl or swim effectivly. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,7/22/2012,A65,0,NA,NA,NA,15.8,10.9,410771,3344798,-87.92729,30.23147,Yes,410763,3344809,-87.92738,30.23157,Near/At HTL,"Loggerhead. Nest washed out during TS Isaac, excavation not possible. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/22/2012,A67,0,NA,NA,NA,7.3,53.9,422065,3344495,-87.80991,30.22951,Yes,422054,3344548,-87.81003,30.22999,Near/At HTL,"Loggerhead. Nest washed out during TS Isaac, excavation not possible. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/22/2012,AFC64,0,NA,NA,NA,NA,NA,401084,3344382,-88.02791,30.22696,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/22/2012,AFC63,0,NA,NA,NA,NA,NA,410341,3344794,-87.93176,30.2314,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/23/2012,AFC66,0,NA,NA,NA,NA,NA,412741,3344683,-87.90681,30.23057,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/23/2012,AFC65,1,Unidentified,Unidentified,NA,NA,NA,411749,3344745,-87.91713,30.23106,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/24/2012,A68,1,Unidentified,Unidentified,NA,15.2,0.0,401306,3344633,-88.02563,30.22925,No,NA,NA,NA,NA,NA,Loggerhead. Nest heavily inundated by TS Isaac.
NA,1_Pre,2012,Dauphin Island,Dauphin Island,Nest,1,7/24/2012,J11,0,NA,NA,NA,NA,NA,374478,3344831,-88.30439,30.22855,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/25/2012,A69,0,NA,NA,NA,10.0,1.2,401353,3344661,-88.02514,30.2295,Yes,402786,3344140,-88.01021,30.22492,Near/At HTL,"Sand extremely hard, ever around the eggs. Eggs packed in very tight and nest cavity was oval shaped. Water in bottom of the nest. Loggerhead,nest relocated west of no name rd. Nest heavily inundated by TS Isaac. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/25/2012,AFC70,0,NA,NA,NA,NA,NA,409078,3344779,-87.94488,30.23117,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/25/2012,AFC68,0,NA,NA,NA,NA,NA,409714,3344784,-87.93828,30.23126,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/25/2012,AFC69,0,NA,NA,NA,NA,NA,409854,3344800,-87.93682,30.23142,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/25/2012,AFC67,0,NA,NA,NA,NA,NA,412903,3344668,-87.90513,30.23045,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,7/25/2012,AFC67,0,NA,NA,NA,NA,NA,412903,3344668,-87.90513,30.23045,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,7/27/2012,A70,0,NA,NA,NA,29.4,0.0,409124,3344815,-87.94441,30.2315,No,NA,NA,NA,NA,NA,"Loggerhead, not moved. Nest washed away during TS Isaac, excavation not possible. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,7/28/2012,A71,0,NA,NA,NA,4.5,14.2,419628,3344368,-87.83523,30.22821,No,NA,NA,NA,NA,NA,"Loggerhead. Nest washed out during TS Isaac, excavation not possible. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,7/28/2012,AFC71,0,NA,NA,NA,NA,NA,422902,3344617,-87.80122,30.23067,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,Gulf State Park,Gulf State Park,Nest,1,7/30/2012,G5,0,NA,NA,NA,26.4,0.0,436246,3346640,-87.66268,30.2497,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Orange Beach,Alabama Point,FC,0,7/30/2012,IFC2,0,NA,NA,NA,NA,NA,448385,3349566,-87.53665,30.27668,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Orange Beach,Alabama Point,FC,0,8/1/2012,IFC3,0,NA,NA,NA,NA,NA,447750,3349410,-87.54325,30.27524,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,8/2/2012,A72,0,NA,NA,NA,0.9,29.7,416639,3344432,-87.86629,30.22858,No,NA,NA,NA,NA,NA,"Loggerhead. Nest was missed my morning patrol. It was called in later by BP crew. However, nest was not relocated because it was after 9am. 
Nest washed out by TS Isaac, excavation not possible. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,FC,0,8/2/2012,AFC72,0,NA,NA,NA,NA,NA,417781,3344402,-87.85442,30.22839,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2012,Gulf Shores,East Beach,Nest,1,8/2/2012,E3,0,NA,NA,NA,NA,NA,434567,3346494,-87.68012,30.24829,No,NA,NA,NA,NA,NA,Followed hatchling tracks into the dunes. Could not locate the nest because of the foot traffic from the condos and Sea & Suds.  We estimated 10 to the water from interviews with beach goers that reported to us.
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,8/3/2012,AFC74,0,NA,NA,NA,NA,NA,407614,3344707,-87.96009,30.23041,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,8/3/2012,AFC73,1,Unidentified,Unidentified,NA,NA,NA,405841,3344562,-87.9785,30.22897,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,8/5/2012,A73,0,NA,NA,NA,11.2,15.5,407107,3344708,-87.96536,30.23038,Yes,407080,3344695,-87.96564,30.23026,Near/At HTL,"Loggerhead. Nest washed out during TS Isaac, excavation not possible. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,FC,0,8/5/2012,AFC75,0,NA,NA,NA,NA,NA,407553,3344698,-87.96072,30.23032,NA,NA,NA,NA,NA,NA,"Loggerhead, canine tracks found in turtle tracks and appear to be same time period; canine possibly scared off turtle before nesting. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,8/6/2012,A74,0,NA,NA,NA,15.8,37.6,401089,3344437,-88.02787,30.22746,Yes,401156,3344410,-88.02717,30.22722,Near/At HTL,"Loggerhead; nest relocated east into the dunes. 6 eggs never found at excavation, suspected to have been depredated. "
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,8/8/2012,A75,0,NA,NA,NA,40.9,0.0,402603,3344129,-88.01211,30.2248,No,NA,NA,NA,NA,NA,"Loggerhead; nest was dug into dunes. nest cavity was dug diagionally, next to another empty vertical nest cavity. It is possible the dune vegetation the turtle dug though may have deterred her from laying eggs into the first vertical nest and prompted her to dig a second, diagional nest. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,8/9/2012,A76,1,Unidentified,Unidentified,NA,13.0,36.1,415704,3344483,-87.87601,30.22898,No,NA,NA,NA,NA,NA,"Loggerhead; nest found by NRA whose tracks came within 1' of clutch, nest may suffer compaction. Nest washed out during TS Isaac, excavation not possible."
Ord_Control,1_Pre,2012,Gulf State Park,Gulf State Park,Nest,1,8/13/2012,G6,1,Unidentified,Unidentified,NA,23.0,19.1,435250,3346559,-87.67303,30.24891,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2012,BSNWR,Refuge,Nest,1,8/17/2012,A77,0,NA,NA,NA,55.0,NA,403645,3344292,-88.00129,30.22636,No,NA,NA,NA,NA,NA,"Loggerhead, not relocated. Hatchling found alive in nest and released had slight deformity to front flippers that caused them to curl inward toward body and impaired crawling ability. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,8/20/2012,A78,1,Sand Fencing,Permanent Structure,NA,37.3,0.0,406148,3344610,-87.97531,30.22942,No,NA,NA,NA,NA,NA,"Loggerhead; nest hatched and was depredated 8/19/2012, and discovered 8/20/2012. Is a nest that was previously unknown. 79 shells, 2 dead hatched, and 1 dead pipped recovered; 6 untouched eggs re-buried. Has been determined that this nest was FA-24, found after TS Debby. UTM and location data matches this false crawl, and false crawl 24 has been re-designated as nest A78 as a result. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,8/24/2012,A79,0,NA,NA,NA,22.1,0.0,414996,3344538,-87.88337,30.22943,No,NA,NA,NA,NA,NA,"Loggerhead; nest previously unknown, found when hatched. Nest located in the dunes. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,8/27/2012,A80,1,Unidentified,Unidentified,NA,25.2,0.0,405573,3344569,-87.98129,30.22901,No,NA,NA,NA,NA,NA,"Nest previously undiscovered, found when hatched. Nest found between two dune fences. Nest determined to be identical to FA22, a live stranding (HMJ20120625-01-C.caretta)and the false crawl has been eliminated as a result. "
Pop_Control,1_Pre,2012,Fort Morgan,Fort Morgan,Nest,1,9/3/2012,A81,1,Unidentified,Unidentified,NA,33.3,0.0,416071,3344473,-87.87219,30.22891,No,NA,NA,NA,NA,NA,
